ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
13;1;Shtangentcirkuli;Home;0;Shtangentcirkuli;Meta title-Shtangentcirkuli;Meta keywords-Shtangentcirkuli;Meta description-Shtangentcirkuli;Thing0;
14;1;Shtangentcirkuli mehanicheskie;Shtangentcirkuli;0;Shtangentcirkuli mehanicheskie GOST 166-89 GOSREESTR ¹ 52630-13;Meta title-Shtangentcirkuli;Meta keywords-Shtangentcirkuli;Meta description-Shtangentcirkuli;Thing1;
15;1;Shtangentcirkuli tcifrovye;Shtangentcirkuli;0;Shtangentcirkuli tcifrovye GOST 166-89 GOSREESTR ¹ 52630-13;Meta title-Shtangentcirkuli;Meta keywords-Shtangentcirkuli;Meta description-Shtangentcirkuli;Thing2;
16;1;Mikrometry;Home;0;Mikrometry;Meta title-Mikrometry;Meta keywords-Mikrometry;Meta description-Mikrometry;Thing3;
17;1;Mikrometry mehanicheskie;Mikrometry;0;Mikrometry mehanicheskie gladkie GOST 6507-90 GOSREESTR ¹ 52631-13;Meta title-Mikrometry;Meta keywords-Mikrometry;Meta description-Mikrometry;Thing4;
18;1;Mikrometry tcifrovye;Mikrometry;0;Mikrometry tcifrovye GOST 6507-90 GOSREESTR ¹ 52631-13;Meta title-Mikrometry;Meta keywords-Mikrometry;Meta description-Mikrometry;Thing5;
19;1;Nutromery;Home;0;Nutromery;Meta title-Nutromery;Meta keywords-Nutromery;Meta description-Nutromery;Thing6;
20;1;Nutromery indikatornye;Nutromery;0;Nutromery indikatornye GOST 868-82 GOSREESTR ¹ 52611-13;Meta title-Nutromery;Meta keywords-Nutromery;Meta description-Nutromery;Thing7;
21;1;Nutromery mikrometricheskie;Nutromery;0;Nutromery mikrometricheskie GOST 10-88;Meta title-Nutromery;Meta keywords-Nutromery;Meta description-Nutromery;Thing8;
22;1;Indikatory chasovogo tipa;Home;0;Indikatory chasovogo tipa GOST 577-68 GOSREESTR ¹ 52612-13. Indikatory IRB;Meta title-Indikatory;Meta keywords-Indikatory;Meta description-Indikatory;Thing9;
23;1;Shtangenglubinomery mehanicheskie;Home;0;Shtangenglubinomery mehanicheskie GOST 162-90;Meta title-Shtangenglubinomery;Meta keywords-Shtangenglubinomery;Meta description-Shtangenglubinomery;Thing10;
24;1;Shtangenreismasy mehanicheskie;Home;0;Shtangenreismasy mehanicheskie GOST 164-90;Meta title-Shtangenreismasy;Meta keywords-Shtangenreismasy;Meta description-Shtangenreismasy;Thing11;
25;1;Uglomery universalnye;Home;0;Uglomery universalnye GOST 5378-88;Meta title-Uglomery;Meta keywords-Uglomery;Meta description-Uglomery;Thing12;
26;1;Ugolniki poverochnye;Home;0;Ugolniki poverochnye GOST 3749-77;Meta title-Ugolniki;Meta keywords-Ugolniki;Meta description-Ugolniki;Thing13;
27;1;Ugolniki s shirokim osnovaniem;Home;0;Ugolniki s shirokim osnovaniem GOST 3749-77;Meta title-Ugolniki;Meta keywords-Ugolniki;Meta description-Ugolniki;Thing14;
28;1;Stoiki Shtativy;Home;0;Stoiki Shtativy;Meta title-Stoiki-Shtativy;Meta keywords-Stoiki-Shtativy;Meta description-Stoiki-Shtativy;Thing15;
29;1;Nabory shchupov;Home;0;Nabory shchupov TU 2-034-0221197-011-91;Meta title-shchupy;Meta keywords-shchupy;Meta description-shchupy;Thing16;
30;1;Shablony rezbovye;Home;0;Shablony rezbovye TU-2-034-228-87;Meta title-Shablony;Meta keywords-Shablony;Meta description-Shablony;Thing17;
31;1;Shablony radiusnye;Home;0;Shablony radiusnye;Meta title-Shablony;Meta keywords-Shablony;Meta description-Shablony;Thing18;
32;1;Leeneiki izmeritelnaia;Home;0;Leeneiki izmeritelnaia po GOST 427-75;Meta title-Ugolniki;Meta keywords-Ugolniki;Meta description-Ugolniki;Thing19;
33;1;Ruletki;Home;0;Ruletki;Meta title-Ruletki;Meta keywords-Ruletki;Meta description-Ruletki;Thing20;
