ID;Active (0/1);Name *;Parent category;Description;Image URL
14;1;Штангенциркули механические;Home;Штангенциркули механические ГОСТ 166-89 ГОСРЕЕСТР 52630-13;
15;1;Штангенциркули цифровые;Home;Штангенциркули цифровые ГОСТ 166-89 ГОСРЕЕСТР 52630-13;
17;1;Микрометры механические;Home;Микрометры механические гладкие ГОСТ 6507-90 ГОСРЕЕСТР 52631-13;
18;1;Микрометры цифровые;Home;Микрометры цифровые ГОСТ 6507-90 ГОСРЕЕСТР 52631-13;
20;1;Нутромеры индикаторные;Home;Нутромеры индикаторные ГОСТ 868-82 ГОСРЕЕСТР 52611-13;
21;1;Нутромеры микрометрические;Home;Нутромеры микрометрические ГОСТ 10-88;
22;1;Индикаторы часового типа;Home;Индикаторы часового типа ГОСТ 577-68 ГОСРЕЕСТР 52612-13. Индикаторы ИРБ;
23;1;Штангенглубиномеры механические;Home;Штангенглубиномеры механические ГОСТ 162-90;
24;1;Штангенрейсмасы механические;Home;Штангенрейсмасы механические ГОСТ 164-90;
25;1;Угломеры универсальные;Home;Угломеры универсальные ГОСТ 5378-88;
26;1;Угольники поверочные;Home;Угольники поверочные ГОСТ 3749-77;
27;1;Угольники с широким основанием;Home;Угольники с широким основанием ГОСТ 3749-77;
28;1;Стойки Штативы;Home;Стойки Штативы;
29;1;Наборы щупов;Home;Наборы щупов ТУ 2-034-0221197-011-91;
30;1;Шаблоны резьбовые;Home;Шаблоны резьбовые ТУ-2-034-228-87;
31;1;Шаблоны радиусные;Home;Шаблоны радиусные;
32;1;Линейки измерительные;Home;Линейки измерительные по ГОСТ 427-75;
33;1;Рулетки;Home;Рулетки;
